allocated CHIP memory @0x97350, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x22e68, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x97388, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x28410, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x973c0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x28720, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x973f8, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x28da0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x97430, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x29c40, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x97468, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x43ae0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x974a0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x43af8, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x974d8, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x68208, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x97510, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x7e930, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x97548, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x7eca0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x97580, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x7f0c0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x975b8, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x94df0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x975f0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x94e28, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x97628, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x94f30, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x97660, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x94fb8, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x97698, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x95060, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x976d0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x950c8, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x97708, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x950f0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x9ef98, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x95230, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x9f000, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x95268, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x9f0a0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x952a0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x9f148, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x952e8, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x9f778, size 308 (D:\prg\_git\ACE\ace\managers\copper.c:74)
allocated CHIP memory @0x9f8c0, size 308 (D:\prg\_git\ACE\ace\managers\copper.c:74)
freed memory 0x96c58, size 30 (D:\prg\_git\ACE\ace\managers\viewport\camera.c:24)
freed memory 0x97758, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x99f68, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x9c778, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0xa1d18, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0xa4518, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x96b40, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:88)
freed memory 0x96ab0, size 34 (D:\prg\_git\ACE\ace\managers\viewport\simplebuffer.c:63)
freed memory 0x96bf8, size 64 (D:\prg\_git\ACE\ace\utils\extview.c:179)
freed memory 0x96058, size 28 (D:\prg\_git\ACE\ace\utils\extview.c:180)
freed memory 0x96cb0, size 44 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x96c88, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x20f90, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x96cf0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x214a0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x96f00, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x21600, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x96f38, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x216b0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x96f70, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x21810, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x97050, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x21bb8, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x970e0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x21c60, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x971b8, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x22c18, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x97210, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x22c78, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x97280, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x22d08, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x972f0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x22e68, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x97350, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x28410, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x97388, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x28720, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x973c0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x28da0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x973f8, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x29c40, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x97430, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x43ae0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x97468, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x43af8, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x974a0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x68208, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x974d8, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x7e930, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x97510, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x7eca0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x97548, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x7f0c0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x97580, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x94df0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x975b8, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x94e28, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x975f0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x94f30, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x97628, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x94fb8, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x97660, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x95060, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x97698, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x950c8, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x976d0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x950f0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x97708, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x95230, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x9ef98, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x95268, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x9f000, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x952a0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x9f0a0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x952e8, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x9f148, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
